[Cycles : Iteration : Population Size : Dimension] [  2 :   77 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.2836740016937256]
[Cycles : Iteration : Population Size : Dimension] [  2 :   78 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.2872890233993530]
[Cycles : Iteration : Population Size : Dimension] [  2 :   79 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.2908864021301270]
[Cycles : Iteration : Population Size : Dimension] [  2 :   80 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.2943829298019409]
[Cycles : Iteration : Population Size : Dimension] [  2 :   81 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.2979674339294434]
[Cycles : Iteration : Population Size : Dimension] [  2 :   82 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.3015719652175903]
[Cycles : Iteration : Population Size : Dimension] [  2 :   83 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.3051594495773315]
[Cycles : Iteration : Population Size : Dimension] [  2 :   84 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.3087744712829590]
[Cycles : Iteration : Population Size : Dimension] [  2 :   85 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.3123890161514282]
[Cycles : Iteration : Population Size : Dimension] [  2 :   86 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.3159325122833252]
[Cycles : Iteration : Population Size : Dimension] [  2 :   87 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.3195120096206665]
[Cycles : Iteration : Population Size : Dimension] [  2 :   88 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.3230655193328857]
[Cycles : Iteration : Population Size : Dimension] [  2 :   89 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.3266714811325073]
[Cycles : Iteration : Population Size : Dimension] [  2 :   90 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.3302445411682129]
[Cycles : Iteration : Population Size : Dimension] [  2 :   91 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.3339920043945312]
[Cycles : Iteration : Population Size : Dimension] [  2 :   92 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.3376585245132446]
[Cycles : Iteration : Population Size : Dimension] [  2 :   93 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.3413144350051880]
[Cycles : Iteration : Population Size : Dimension] [  2 :   94 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.3448599576950073]
[Cycles : Iteration : Population Size : Dimension] [  2 :   95 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.3484519720077515]
[Cycles : Iteration : Population Size : Dimension] [  2 :   96 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.3520029783248901]
[Cycles : Iteration : Population Size : Dimension] [  2 :   97 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.3555804491043091]
[Cycles : Iteration : Population Size : Dimension] [  2 :   98 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.3591480255126953]
