[Cycles : Iteration : Population Size : Dimension] [  2 :  170 :  30 :  2] [Fitness : Time]: [	0.0064711985814651 ,	0.1303825378417969]
[Cycles : Iteration : Population Size : Dimension] [  2 :  171 :  30 :  2] [Fitness : Time]: [	0.0064711985814651 ,	0.1310979127883911]
[Cycles : Iteration : Population Size : Dimension] [  2 :  172 :  30 :  2] [Fitness : Time]: [	0.0064711985814651 ,	0.1318374872207642]
[Cycles : Iteration : Population Size : Dimension] [  2 :  173 :  30 :  2] [Fitness : Time]: [	0.0064711985814651 ,	0.1325359344482422]
[Cycles : Iteration : Population Size : Dimension] [  2 :  174 :  30 :  2] [Fitness : Time]: [	0.0064711985814651 ,	0.1332849264144897]
[Cycles : Iteration : Population Size : Dimension] [  2 :  175 :  30 :  2] [Fitness : Time]: [	0.0064711985814651 ,	0.1340125799179077]
[Cycles : Iteration : Population Size : Dimension] [  2 :  176 :  30 :  2] [Fitness : Time]: [	0.0064711985814651 ,	0.1347606182098389]
[Cycles : Iteration : Population Size : Dimension] [  2 :  177 :  30 :  2] [Fitness : Time]: [	0.0064711985814651 ,	0.1354844570159912]
[Cycles : Iteration : Population Size : Dimension] [  2 :  178 :  30 :  2] [Fitness : Time]: [	0.0064711985814651 ,	0.1362529993057251]
[Cycles : Iteration : Population Size : Dimension] [  2 :  179 :  30 :  2] [Fitness : Time]: [	0.0064711985814651 ,	0.1369924545288086]
[Cycles : Iteration : Population Size : Dimension] [  2 :  180 :  30 :  2] [Fitness : Time]: [	0.0064711985814651 ,	0.1377710103988647]
[Cycles : Iteration : Population Size : Dimension] [  2 :  181 :  30 :  2] [Fitness : Time]: [	0.0064711985814651 ,	0.1384965181350708]
[Cycles : Iteration : Population Size : Dimension] [  2 :  182 :  30 :  2] [Fitness : Time]: [	0.0064711985814651 ,	0.1392085552215576]
[Cycles : Iteration : Population Size : Dimension] [  2 :  183 :  30 :  2] [Fitness : Time]: [	0.0064711985814651 ,	0.1399710178375244]
[Cycles : Iteration : Population Size : Dimension] [  2 :  184 :  30 :  2] [Fitness : Time]: [	0.0064711985814651 ,	0.1406946182250977]
[Cycles : Iteration : Population Size : Dimension] [  2 :  185 :  30 :  2] [Fitness : Time]: [	0.0064711985814651 ,	0.1414400339126587]
[Cycles : Iteration : Population Size : Dimension] [  2 :  186 :  30 :  2] [Fitness : Time]: [	0.0064711985814651 ,	0.1421470642089844]
[Cycles : Iteration : Population Size : Dimension] [  2 :  187 :  30 :  2] [Fitness : Time]: [	0.0064711985814651 ,	0.1428675651550293]
[Cycles : Iteration : Population Size : Dimension] [  2 :  188 :  30 :  2] [Fitness : Time]: [	0.0064711985814651 ,	0.1435755491256714]
[Cycles : Iteration : Population Size : Dimension] [  2 :  189 :  30 :  2] [Fitness : Time]: [	0.0064711985814651 ,	0.1443225145339966]
[Cycles : Iteration : Population Size : Dimension] [  2 :  190 :  30 :  2] [Fitness : Time]: [	0.0064711985814651 ,	0.1450560092926025]
[Cycles : Iteration : Population Size : Dimension] [  2 :  191 :  30 :  2] [Fitness : Time]: [	0.0064711985814651 ,	0.1458289623260498]
[Cycles : Iteration : Population Size : Dimension] [  2 :  192 :  30 :  2] [Fitness : Time]: [	0.0064711985814651 ,	0.1465129852294922]
[Cycles : Iteration : Population Size : Dimension] [  2 :  193 :  30 :  2] [Fitness : Time]: [	0.0064711985814651 ,	0.1472445726394653]
[Cycles : Iteration : Population Size : Dimension] [  2 :  194 :  30 :  2] [Fitness : Time]: [	0.0064711985814651 ,	0.1479605436325073]
[Cycles : Iteration : Population Size : Dimension] [  2 :  195 :  30 :  2] [Fitness : Time]: [	0.0064711985814651 ,	0.1486704349517822]
[Cycles : Iteration : Population Size : Dimension] [  2 :  196 :  30 :  2] [Fitness : Time]: [	0.0064711985814651 ,	0.1493899822235107]
