[Cycles : Iteration : Population Size : Dimension] [  2 :  107 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.2317575216293335]
[Cycles : Iteration : Population Size : Dimension] [  2 :  108 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.2405630350112915]
[Cycles : Iteration : Population Size : Dimension] [  2 :  109 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.2419785261154175]
[Cycles : Iteration : Population Size : Dimension] [  2 :  110 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.2440104484558105]
[Cycles : Iteration : Population Size : Dimension] [  2 :  111 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.2455055713653564]
[Cycles : Iteration : Population Size : Dimension] [  2 :  112 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.2461149692535400]
[Cycles : Iteration : Population Size : Dimension] [  2 :  113 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.2476615905761719]
[Cycles : Iteration : Population Size : Dimension] [  2 :  114 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.2482390403747559]
[Cycles : Iteration : Population Size : Dimension] [  2 :  115 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.2497519254684448]
[Cycles : Iteration : Population Size : Dimension] [  2 :  116 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.2575939893722534]
[Cycles : Iteration : Population Size : Dimension] [  2 :  117 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.2590680122375488]
[Cycles : Iteration : Population Size : Dimension] [  2 :  118 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.2601259946823120]
[Cycles : Iteration : Population Size : Dimension] [  2 :  119 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.2618099451065063]
[Cycles : Iteration : Population Size : Dimension] [  2 :  120 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.2633774280548096]
[Cycles : Iteration : Population Size : Dimension] [  2 :  121 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.2644294500350952]
[Cycles : Iteration : Population Size : Dimension] [  2 :  122 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.2649810314178467]
[Cycles : Iteration : Population Size : Dimension] [  2 :  123 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.2660645246505737]
[Cycles : Iteration : Population Size : Dimension] [  2 :  124 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.2723734378814697]
[Cycles : Iteration : Population Size : Dimension] [  2 :  125 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.2742154598236084]
[Cycles : Iteration : Population Size : Dimension] [  2 :  126 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.2757159471511841]
[Cycles : Iteration : Population Size : Dimension] [  2 :  127 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.2770135402679443]
[Cycles : Iteration : Population Size : Dimension] [  2 :  128 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.2788424491882324]
[Cycles : Iteration : Population Size : Dimension] [  2 :  129 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.2799010276794434]
[Cycles : Iteration : Population Size : Dimension] [  2 :  130 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.2809590101242065]
[Cycles : Iteration : Population Size : Dimension] [  2 :  131 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.2810380458831787]
[Cycles : Iteration : Population Size : Dimension] [  2 :  132 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.2831219434738159]
[Cycles : Iteration : Population Size : Dimension] [  2 :  133 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.2841864824295044]
