[Cycles : Iteration : Population Size : Dimension] [  2 :  122 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.5637180805206299]
[Cycles : Iteration : Population Size : Dimension] [  2 :  123 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.5734635591506958]
[Cycles : Iteration : Population Size : Dimension] [  2 :  124 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.5832054615020752]
[Cycles : Iteration : Population Size : Dimension] [  2 :  125 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.5872319936752319]
[Cycles : Iteration : Population Size : Dimension] [  2 :  126 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.6013480424880981]
[Cycles : Iteration : Population Size : Dimension] [  2 :  127 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.6109530925750732]
[Cycles : Iteration : Population Size : Dimension] [  2 :  128 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.6132550239562988]
[Cycles : Iteration : Population Size : Dimension] [  2 :  129 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.6260635852813721]
[Cycles : Iteration : Population Size : Dimension] [  2 :  130 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.6350990533828735]
[Cycles : Iteration : Population Size : Dimension] [  2 :  131 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.6380070447921753]
[Cycles : Iteration : Population Size : Dimension] [  2 :  132 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.6416465044021606]
[Cycles : Iteration : Population Size : Dimension] [  2 :  133 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.6493999958038330]
[Cycles : Iteration : Population Size : Dimension] [  2 :  134 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.6516845226287842]
[Cycles : Iteration : Population Size : Dimension] [  2 :  135 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.6703455448150635]
[Cycles : Iteration : Population Size : Dimension] [  2 :  136 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.6913549900054932]
[Cycles : Iteration : Population Size : Dimension] [  2 :  137 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.6950299739837646]
[Cycles : Iteration : Population Size : Dimension] [  2 :  138 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.7024414539337158]
[Cycles : Iteration : Population Size : Dimension] [  2 :  139 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.7056715488433838]
[Cycles : Iteration : Population Size : Dimension] [  2 :  140 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.7138310670852661]
[Cycles : Iteration : Population Size : Dimension] [  2 :  141 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.7213460206985474]
[Cycles : Iteration : Population Size : Dimension] [  2 :  142 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.7267351150512695]
[Cycles : Iteration : Population Size : Dimension] [  2 :  143 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.7303280830383301]
[Cycles : Iteration : Population Size : Dimension] [  2 :  144 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.7478075027465820]
[Cycles : Iteration : Population Size : Dimension] [  2 :  145 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.7543984651565552]
[Cycles : Iteration : Population Size : Dimension] [  2 :  146 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.7619540691375732]
[Cycles : Iteration : Population Size : Dimension] [  2 :  147 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.7646930217742920]
[Cycles : Iteration : Population Size : Dimension] [  2 :  148 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.7668755054473877]
[Cycles : Iteration : Population Size : Dimension] [  2 :  149 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.7692745923995972]
[Cycles : Iteration : Population Size : Dimension] [  2 :  150 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.7715294361114502]
[Cycles : Iteration : Population Size : Dimension] [  2 :  151 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.7739820480346680]
[Cycles : Iteration : Population Size : Dimension] [  2 :  152 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.7838550806045532]
[Cycles : Iteration : Population Size : Dimension] [  2 :  153 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.7905720472335815]
[Cycles : Iteration : Population Size : Dimension] [  2 :  154 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.7925574779510498]
[Cycles : Iteration : Population Size : Dimension] [  2 :  155 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.7975770235061646]
[Cycles : Iteration : Population Size : Dimension] [  2 :  156 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.8001565933227539]
[Cycles : Iteration : Population Size : Dimension] [  2 :  157 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.8057030439376831]
[Cycles : Iteration : Population Size : Dimension] [  2 :  158 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.8111735582351685]
[Cycles : Iteration : Population Size : Dimension] [  2 :  159 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.8180019855499268]
[Cycles : Iteration : Population Size : Dimension] [  2 :  160 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.8195844888687134]
[Cycles : Iteration : Population Size : Dimension] [  2 :  161 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.8209575414657593]
[Cycles : Iteration : Population Size : Dimension] [  2 :  162 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.8269385099411011]
[Cycles : Iteration : Population Size : Dimension] [  2 :  163 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.8403730392456055]
[Cycles : Iteration : Population Size : Dimension] [  2 :  164 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.8464560508728027]
[Cycles : Iteration : Population Size : Dimension] [  2 :  165 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.8489785194396973]
[Cycles : Iteration : Population Size : Dimension] [  2 :  166 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.8590494394302368]
[Cycles : Iteration : Population Size : Dimension] [  2 :  167 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.8600320816040039]
[Cycles : Iteration : Population Size : Dimension] [  2 :  168 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.8660554885864258]
[Cycles : Iteration : Population Size : Dimension] [  2 :  169 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.8702191114425659]
[Cycles : Iteration : Population Size : Dimension] [  2 :  170 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.8770570755004883]
[Cycles : Iteration : Population Size : Dimension] [  2 :  171 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.8789939880371094]
[Cycles : Iteration : Population Size : Dimension] [  2 :  172 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.8887729644775391]
[Cycles : Iteration : Population Size : Dimension] [  2 :  173 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.8989540338516235]
[Cycles : Iteration : Population Size : Dimension] [  2 :  174 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.9009715318679810]
[Cycles : Iteration : Population Size : Dimension] [  2 :  175 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.9026310443878174]
[Cycles : Iteration : Population Size : Dimension] [  2 :  176 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.9067181348800659]
[Cycles : Iteration : Population Size : Dimension] [  2 :  177 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.9106664657592773]
[Cycles : Iteration : Population Size : Dimension] [  2 :  178 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.9162764549255371]
[Cycles : Iteration : Population Size : Dimension] [  2 :  179 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.9175790548324585]
[Cycles : Iteration : Population Size : Dimension] [  2 :  180 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.9189500808715820]
[Cycles : Iteration : Population Size : Dimension] [  2 :  181 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.9321680068969727]
[Cycles : Iteration : Population Size : Dimension] [  2 :  182 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.9520235061645508]
[Cycles : Iteration : Population Size : Dimension] [  2 :  183 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.9546580314636230]
[Cycles : Iteration : Population Size : Dimension] [  2 :  184 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.9588484764099121]
[Cycles : Iteration : Population Size : Dimension] [  2 :  185 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.9614100456237793]
[Cycles : Iteration : Population Size : Dimension] [  2 :  186 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.9639225006103516]
[Cycles : Iteration : Population Size : Dimension] [  2 :  187 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.9689824581146240]
[Cycles : Iteration : Population Size : Dimension] [  2 :  188 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.9770699739456177]
[Cycles : Iteration : Population Size : Dimension] [  2 :  189 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.9938340187072754]
[Cycles : Iteration : Population Size : Dimension] [  2 :  190 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	0.9982985258102417]
[Cycles : Iteration : Population Size : Dimension] [  2 :  191 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	1.0061825513839722]
[Cycles : Iteration : Population Size : Dimension] [  2 :  192 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	1.0237035751342773]
[Cycles : Iteration : Population Size : Dimension] [  2 :  193 :  30 :  3] [Fitness : Time]: [	-839.0039360186324302 ,	1.0305595397949219]
