[Cycles : Iteration : Population Size : Dimension] [  2 :   78 :  30 :  5] [Fitness : Time]: [	-183.8868596300509353 ,	0.1092765331268311]
[Cycles : Iteration : Population Size : Dimension] [  2 :   79 :  30 :  5] [Fitness : Time]: [	-183.8868596300509353 ,	0.1105494499206543]
[Cycles : Iteration : Population Size : Dimension] [  2 :   80 :  30 :  5] [Fitness : Time]: [	-183.8868596300509353 ,	0.1117985248565674]
[Cycles : Iteration : Population Size : Dimension] [  2 :   81 :  30 :  5] [Fitness : Time]: [	-183.8868596300509353 ,	0.1130584478378296]
[Cycles : Iteration : Population Size : Dimension] [  2 :   82 :  30 :  5] [Fitness : Time]: [	-183.8868596300509353 ,	0.1137039661407471]
[Cycles : Iteration : Population Size : Dimension] [  2 :   83 :  30 :  5] [Fitness : Time]: [	-183.8868596300509353 ,	0.1155865192413330]
[Cycles : Iteration : Population Size : Dimension] [  2 :   84 :  30 :  5] [Fitness : Time]: [	-183.8868596300509353 ,	0.1169279813766479]
[Cycles : Iteration : Population Size : Dimension] [  2 :   85 :  30 :  5] [Fitness : Time]: [	-183.8868596300509353 ,	0.1175858974456787]
[Cycles : Iteration : Population Size : Dimension] [  2 :   86 :  30 :  5] [Fitness : Time]: [	-183.8868596300509353 ,	0.1194795370101929]
[Cycles : Iteration : Population Size : Dimension] [  2 :   87 :  30 :  5] [Fitness : Time]: [	-183.8868596300509353 ,	0.1207444667816162]
[Cycles : Iteration : Population Size : Dimension] [  2 :   88 :  30 :  5] [Fitness : Time]: [	-183.8868596300509353 ,	0.1208488941192627]
[Cycles : Iteration : Population Size : Dimension] [  2 :   89 :  30 :  5] [Fitness : Time]: [	-183.8868596300509353 ,	0.1232939958572388]
[Cycles : Iteration : Population Size : Dimension] [  2 :   90 :  30 :  5] [Fitness : Time]: [	-183.8868596300509353 ,	0.1245335340499878]
[Cycles : Iteration : Population Size : Dimension] [  2 :   91 :  30 :  5] [Fitness : Time]: [	-183.8868596300509353 ,	0.1253134012222290]
[Cycles : Iteration : Population Size : Dimension] [  2 :   92 :  30 :  5] [Fitness : Time]: [	-183.8868596300509353 ,	0.1270915269851685]
