[Cycles : Iteration : Population Size : Dimension] [  2 :   79 :  30 :  2] [Fitness : Time]: [	3.0840291411651686 ,	0.0569990873336792]
[Cycles : Iteration : Population Size : Dimension] [  2 :   80 :  30 :  2] [Fitness : Time]: [	3.0840291411651686 ,	0.0577065944671631]
[Cycles : Iteration : Population Size : Dimension] [  2 :   81 :  30 :  2] [Fitness : Time]: [	3.0840291411651686 ,	0.0580475330352783]
[Cycles : Iteration : Population Size : Dimension] [  2 :   82 :  30 :  2] [Fitness : Time]: [	3.0840291411651686 ,	0.0589979887008667]
[Cycles : Iteration : Population Size : Dimension] [  2 :   83 :  30 :  2] [Fitness : Time]: [	3.0840291411651686 ,	0.0596680641174316]
[Cycles : Iteration : Population Size : Dimension] [  2 :   84 :  30 :  2] [Fitness : Time]: [	3.0840291411651686 ,	0.0602954626083374]
[Cycles : Iteration : Population Size : Dimension] [  2 :   85 :  30 :  2] [Fitness : Time]: [	3.0840291411651686 ,	0.0609389543533325]
[Cycles : Iteration : Population Size : Dimension] [  2 :   86 :  30 :  2] [Fitness : Time]: [	3.0840291411651686 ,	0.0616029500961304]
[Cycles : Iteration : Population Size : Dimension] [  2 :   87 :  30 :  2] [Fitness : Time]: [	3.0840291411651686 ,	0.0619605779647827]
[Cycles : Iteration : Population Size : Dimension] [  2 :   88 :  30 :  2] [Fitness : Time]: [	3.0840291411651686 ,	0.0629270076751709]
[Cycles : Iteration : Population Size : Dimension] [  2 :   89 :  30 :  2] [Fitness : Time]: [	3.0840291411651686 ,	0.0632784366607666]
[Cycles : Iteration : Population Size : Dimension] [  2 :   90 :  30 :  2] [Fitness : Time]: [	3.0840291411651686 ,	0.0641989707946777]
[Cycles : Iteration : Population Size : Dimension] [  2 :   91 :  30 :  2] [Fitness : Time]: [	3.0840291411651686 ,	0.0648299455642700]
[Cycles : Iteration : Population Size : Dimension] [  2 :   92 :  30 :  2] [Fitness : Time]: [	3.0840291411651686 ,	0.0654760599136353]
[Cycles : Iteration : Population Size : Dimension] [  2 :   93 :  30 :  2] [Fitness : Time]: [	3.0840291411651686 ,	0.0658254623413086]
[Cycles : Iteration : Population Size : Dimension] [  2 :   94 :  30 :  2] [Fitness : Time]: [	3.0840291411651686 ,	0.0674210786819458]
[Cycles : Iteration : Population Size : Dimension] [  2 :   95 :  30 :  2] [Fitness : Time]: [	3.0840291411651686 ,	0.0680475234985352]
[Cycles : Iteration : Population Size : Dimension] [  2 :   96 :  30 :  2] [Fitness : Time]: [	3.0840291411651686 ,	0.0686784982681274]
[Cycles : Iteration : Population Size : Dimension] [  2 :   97 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.0693140029907227]
[Cycles : Iteration : Population Size : Dimension] [  2 :   98 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.0696630477905273]
[Cycles : Iteration : Population Size : Dimension] [  2 :   99 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.0702035427093506]
[Cycles : Iteration : Population Size : Dimension] [  2 :  100 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.0708414316177368]
[Cycles : Iteration : Population Size : Dimension] [  2 :  101 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.0719029903411865]
[Cycles : Iteration : Population Size : Dimension] [  2 :  102 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.0725269317626953]
[Cycles : Iteration : Population Size : Dimension] [  2 :  103 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.0731445550918579]
[Cycles : Iteration : Population Size : Dimension] [  2 :  104 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.0737860202789307]
[Cycles : Iteration : Population Size : Dimension] [  2 :  105 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.0744855403900146]
[Cycles : Iteration : Population Size : Dimension] [  2 :  106 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.0748469829559326]
[Cycles : Iteration : Population Size : Dimension] [  2 :  107 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.0757535696029663]
[Cycles : Iteration : Population Size : Dimension] [  2 :  108 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.0764199495315552]
[Cycles : Iteration : Population Size : Dimension] [  2 :  109 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.0770519971847534]
[Cycles : Iteration : Population Size : Dimension] [  2 :  110 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.0777115821838379]
[Cycles : Iteration : Population Size : Dimension] [  2 :  111 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.0785019397735596]
[Cycles : Iteration : Population Size : Dimension] [  2 :  112 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.0791670083999634]
[Cycles : Iteration : Population Size : Dimension] [  2 :  113 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.0798499584197998]
[Cycles : Iteration : Population Size : Dimension] [  2 :  114 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.0804704427719116]
[Cycles : Iteration : Population Size : Dimension] [  2 :  115 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.0811115503311157]
[Cycles : Iteration : Population Size : Dimension] [  2 :  116 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.0817579030990601]
[Cycles : Iteration : Population Size : Dimension] [  2 :  117 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.0824224948883057]
[Cycles : Iteration : Population Size : Dimension] [  2 :  118 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.0827744007110596]
[Cycles : Iteration : Population Size : Dimension] [  2 :  119 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.0836955308914185]
[Cycles : Iteration : Population Size : Dimension] [  2 :  120 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.0843814611434937]
[Cycles : Iteration : Population Size : Dimension] [  2 :  121 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.0850430727005005]
[Cycles : Iteration : Population Size : Dimension] [  2 :  122 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.0856875181198120]
[Cycles : Iteration : Population Size : Dimension] [  2 :  123 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.0860714912414551]
[Cycles : Iteration : Population Size : Dimension] [  2 :  124 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.0867419242858887]
[Cycles : Iteration : Population Size : Dimension] [  2 :  125 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.0876455307006836]
[Cycles : Iteration : Population Size : Dimension] [  2 :  126 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.0882951021194458]
[Cycles : Iteration : Population Size : Dimension] [  2 :  127 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.0889295339584351]
[Cycles : Iteration : Population Size : Dimension] [  2 :  128 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.0895929336547852]
[Cycles : Iteration : Population Size : Dimension] [  2 :  129 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.0902529954910278]
[Cycles : Iteration : Population Size : Dimension] [  2 :  130 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.0908969640731812]
[Cycles : Iteration : Population Size : Dimension] [  2 :  131 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.0915344953536987]
[Cycles : Iteration : Population Size : Dimension] [  2 :  132 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.0921524763107300]
[Cycles : Iteration : Population Size : Dimension] [  2 :  133 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.0929075479507446]
[Cycles : Iteration : Population Size : Dimension] [  2 :  134 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.0935559272766113]
