[Cycles : Iteration : Population Size : Dimension] [  1 :   84 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.3290588855743408]
[Cycles : Iteration : Population Size : Dimension] [  1 :   85 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.3338298797607422]
[Cycles : Iteration : Population Size : Dimension] [  1 :   86 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.3391170501708984]
[Cycles : Iteration : Population Size : Dimension] [  1 :   87 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.3447039127349854]
[Cycles : Iteration : Population Size : Dimension] [  1 :   88 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.3500080108642578]
[Cycles : Iteration : Population Size : Dimension] [  1 :   89 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.3552310466766357]
[Cycles : Iteration : Population Size : Dimension] [  1 :   90 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.3587920665740967]
[Cycles : Iteration : Population Size : Dimension] [  1 :   91 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.3649690151214600]
[Cycles : Iteration : Population Size : Dimension] [  1 :   92 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.3700258731842041]
[Cycles : Iteration : Population Size : Dimension] [  1 :   93 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.3824439048767090]
[Cycles : Iteration : Population Size : Dimension] [  1 :   94 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.3925330638885498]
[Cycles : Iteration : Population Size : Dimension] [  1 :   95 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.3976268768310547]
[Cycles : Iteration : Population Size : Dimension] [  1 :   96 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.4029340744018555]
[Cycles : Iteration : Population Size : Dimension] [  1 :   97 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.4082350730895996]
[Cycles : Iteration : Population Size : Dimension] [  1 :   98 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.4132430553436279]
[Cycles : Iteration : Population Size : Dimension] [  1 :   99 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.4193198680877686]
[Cycles : Iteration : Population Size : Dimension] [  1 :  100 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.4244420528411865]
[Cycles : Iteration : Population Size : Dimension] [  1 :  101 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.4300959110260010]
[Cycles : Iteration : Population Size : Dimension] [  1 :  102 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.4351010322570801]
[Cycles : Iteration : Population Size : Dimension] [  1 :  103 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.4398059844970703]
[Cycles : Iteration : Population Size : Dimension] [  1 :  104 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.4445569515228271]
[Cycles : Iteration : Population Size : Dimension] [  1 :  105 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.4519450664520264]
[Cycles : Iteration : Population Size : Dimension] [  1 :  106 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.4592928886413574]
[Cycles : Iteration : Population Size : Dimension] [  1 :  107 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.4650509357452393]
[Cycles : Iteration : Population Size : Dimension] [  1 :  108 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.4703538417816162]
[Cycles : Iteration : Population Size : Dimension] [  1 :  109 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.4755270481109619]
[Cycles : Iteration : Population Size : Dimension] [  1 :  110 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.4786520004272461]
[Cycles : Iteration : Population Size : Dimension] [  1 :  111 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.4857430458068848]
